Site,Date,Turbidity(NTU) at 12AM,Turbidity(NTU) at 4AM,Turbidity(NTU) at 8AM,Turbidity(NTU) at 12PM,Turbidity(NTU) at 4PM,Turbidity(NTU) at 8PM,Average 24hrTurbidity(NTU),"Coliform, Fecal(fc/100mL)"
DEL18DT,2015-05-10T00:00:00,,1.00,0.95,0.95,1.00,1.00,0.98,<1
DEL18DT,2015-05-11T00:00:00,1.00,1.10,0.95,1.00,1.10,1.10,1.04,<1
DEL18DT,2015-05-12T00:00:00,1.10,1.10,1.10,0.90,0.95,1.10,1.04,1
DEL18DT,2015-05-13T00:00:00,0.90,1.10,0.95,0.90,1.00,0.95,0.97,1
DEL18DT,2015-05-14T00:00:00,1.10,1.00,1.00,0.95,0.95,0.95,0.99,<1
DEL18DT,2015-05-15T00:00:00,1.00,1.00,1.00,0.90,0.95,1.00,0.98,<1
DEL18DT,2015-05-16T00:00:00,1.10,1.00,1.00,0.75,0.85,0.95,0.94,<1
DEL18DT,2015-05-17T00:00:00,0.90,0.90,0.85,0.80,0.85,0.85,0.86,2
DEL18DT,2015-05-18T00:00:00,0.90,0.80,0.85,1.00,0.95,1.00,0.92,<1
DEL18DT,2015-05-19T00:00:00,0.95,1.00,1.00,0.90,0.85,0.80,0.92,2
DEL18DT,2015-05-20T00:00:00,1.00,0.85,0.95,1.00,1.00,0.85,0.94,3
DEL18DT,2015-05-21T00:00:00,1.00,0.90,1.00,0.90,0.95,1.00,0.96,1
DEL18DT,2015-05-22T00:00:00,1.00,0.90,0.95,0.90,1.00,1.00,0.96,1
DEL18DT,2015-05-23T00:00:00,0.85,1.00,0.90,1.10,0.95,1.00,0.97,<1
DEL18DT,2015-05-24T00:00:00,0.90,1.00,0.90,1.00,0.95,1.00,0.96,1
DEL18DT,2015-05-25T00:00:00,0.90,0.95,1.00,0.75,0.80,0.90,0.88,<1
DEL18DT,2015-05-26T00:00:00,0.95,0.80,0.85,0.95,0.95,0.90,0.90,<1
DEL18DT,2015-05-27T00:00:00,0.80,0.95,0.95,1.10,0.95,0.90,0.94,<1
DEL18DT,2015-05-28T00:00:00,0.90,0.95,0.90,1.00,0.95,1.00,0.95,2
DEL18DT,2015-05-29T00:00:00,0.85,0.95,1.00,0.95,0.90,0.95,0.93,2
DEL18DT,2015-05-30T00:00:00,0.95,0.95,0.95,0.85,0.85,0.85,0.90,<1
DEL18DT,2015-05-31T00:00:00,0.95,0.85,0.85,0.80,0.85,0.85,0.86,<1
DEL18DT,2015-06-01T00:00:00,0.80,0.75,0.80,0.90,0.90,0.85,0.83,7
DEL18DT,2015-06-02T00:00:00,0.90,0.90,0.90,0.85,0.95,0.95,0.91,4
DEL18DT,2015-06-03T00:00:00,0.95,0.95,0.90,0.70,0.75,0.75,0.83,3
DEL18DT,2015-06-04T00:00:00,0.85,0.85,0.85,0.80,0.85,0.85,0.84,3
DEL18DT,2015-06-05T00:00:00,0.80,0.90,0.85,0.85,0.85,0.80,0.84,8
DEL18DT,2015-06-06T00:00:00,0.80,0.85,0.85,0.90,0.75,0.80,0.83,1
DEL18DT,2015-06-07T00:00:00,0.80,0.80,0.80,0.80,0.90,0.95,0.84,2
DEL18DT,2015-06-08T00:00:00,1.00,1.00,1.00,0.85,0.85,0.75,0.91,1
DEL18DT,2015-06-09T00:00:00,0.90,0.80,0.95,0.80,0.80,0.90,0.86,<1
DEL18DT,2015-06-10T00:00:00,0.80,0.90,0.80,0.95,1.00,0.90,0.89,1
DEL18DT,2015-06-11T00:00:00,0.95,1.00,1.00,1.00,0.85,1.00,0.97,<1
DEL18DT,2015-06-12T00:00:00,0.95,0.90,0.90,0.90,0.95,0.95,0.93,4
DEL18DT,2015-06-13T00:00:00,0.95,0.95,0.85,0.75,0.75,0.75,0.83,1
DEL18DT,2015-06-14T00:00:00,0.80,0.85,0.85,0.85,0.75,0.85,0.83,<1
DEL18DT,2015-06-15T00:00:00,0.85,0.85,0.90,1.00,0.85,0.90,0.89,10
DEL18DT,2015-06-16T00:00:00,0.90,0.95,1.00,0.85,0.90,0.90,0.92,<1
DEL18DT,2015-06-17T00:00:00,0.90,0.95,0.90,0.90,1.00,1.00,0.94,3
DEL18DT,2015-06-18T00:00:00,1.00,1.00,0.95,1.00,0.90,1.10,0.99,<1
DEL18DT,2015-06-19T00:00:00,1.00,1.00,0.95,1.00,0.90,1.00,0.98,2
DEL18DT,2015-06-20T00:00:00,0.95,0.95,0.95,0.75,0.80,0.85,0.88,3
DEL18DT,2015-06-21T00:00:00,0.85,0.80,0.85,1.00,1.00,1.00,0.92,2
