PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn
HD 143761 b,0,1.045,,39.8458,0.2196,0.037,270.6,,,,,,RV,2016,16/07/11,16 01 03,+33 18 13,17.236,0.889,1.362,-0.31,5627,,Confirmed planets
HD 143761 c,0,0.079,,102.54,0.4123,0.05,190,,,,,,RV,2016,16/07/11,16 01 03,+33 18 13,17.236,0.889,1.362,-0.31,5627,,Confirmed planets
KOI-1843.03,0,0.0014,0.054,0.1768913,0.0048,,,,,72,,,transit,2012,13/07/15,19 00 03.14,+40 13 14.7,,0.46,0.45,0,3584,,Controversial
KOI-1843.01,0,,0.114,4.194525,0.039,,,,,89.38,,,transit,,,19 00 03.14,+40 13 14.7,,0.46,0.45,0,3584,,Controversial
KOI-1843.02,0,,0.071,6.356006,0.052,,,,,88.24,,,transit,,,19 00 03.14,+40 13 14.7,,0.46,0.45,0,3584,,Controversial
HD 4203 b,0,1.82,,437.05,1.1735,0.52,,,,,263.9,,RV,2001,14/03/11,00 44 41,+20 26 56,77.82,1.13,1.33,0.453,5702,,Confirmed planets
HD 4203 c,0,2.17,,6700,6.95,0.24,,,,,,,RV,2014,14/03/11,00 44 41,+20 26 56,77.82,1.13,1.33,0.453,5702,,Confirmed planets
HD 179079 b,0,0.08,,14.476,0.11,0.115,,,,,925,,RV,2009,09/08/13,19 11 10,-02 38 18,63.69,1.087,1.48,0.29,5724,,Confirmed planets
Kepler-1368 b,0,,0.147,0.67564949,,,,,,,,,transit,2016,16/05/10,19 39 04,+41 38 41,,1.07,1.08,0.1,5906,,Confirmed planets
HD 187123 b,0,0.5074,,3.0965886,0.04213,0.0093,360,,,,,,RV,1998,15/08/15,19 46 58.1,+34 25 10.3,48.3,1.037,1.143,0.121,5815,,Confirmed planets
HD 187123 c,0,1.818,,3324,4.417,0.28,258.5,,,,,,RV,2007,15/08/15,19 46 58.1,+34 25 10.3,48.3,1.037,1.143,0.121,5815,,Confirmed planets
Kepler-1111 b,0,,0.178,8.79617863,,,,,,,,,transit,2016,16/05/10,19 41 51,+45 48 46,,1.1,1.15,0.02,6077,,Confirmed planets
Kepler-1289 b,0,,0.136,7.99019627,,,,,,,,,transit,2016,16/05/10,19 45 33,+41 02 26,,1.1,1.17,0.02,6080,,Confirmed planets
Kepler-431 b,0,,0.0682,6.803,0.0719,,,,,,,,transit,2015,15/03/18,18 44 26.96,+43 13 40.0,,1.071,1.092,,6004,,Confirmed planets
Kepler-431 c,0,,0.0596,8.703,0.0847,,,,,,,,transit,2015,15/03/18,18 44 26.96,+43 13 40.0,,1.071,1.092,,6004,,Confirmed planets
